player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,two_pts
Brandon Powell,WR,LAR,NA,NA,0.5,5.5,NA,NA,0,0.3,1.4,NA,0,0,1,NA,17793,FantasyPros,13910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Zuber,WR,LV,NA,NA,0.5,6.3,NA,NA,0.1,0,0,NA,0,0,0.9,NA,19855,FantasyPros,15116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kristian Wilkerson,WR,NE,NA,NA,0.6,6.4,NA,NA,0,0,0,NA,0,0,0.9,NA,19891,FantasyPros,15528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Strachan,WR,IND,NA,NA,0.5,6.9,NA,NA,0,0,0,NA,0,0,0.9,NA,23395,FantasyPros,15478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dax Milne,WR,WAS,NA,NA,0.5,6.6,NA,NA,0,0,0.4,NA,0,0,0.9,NA,22800,FantasyPros,15326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denzel Mims,WR,NYJ,NA,NA,0.5,6.6,NA,NA,0,0,0,NA,0,0,0.8,NA,19344,FantasyPros,14846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lawrence Cager,WR,NYJ,NA,NA,0.5,6,NA,NA,0,0,0,NA,0,0,0.8,NA,19701,FantasyPros,15041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaelon Darden,WR,TB,NA,NA,0.5,5.6,NA,NA,0,0.1,0.5,NA,0,0,0.8,NA,22796,FantasyPros,15321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cody Hollister,WR,TEN,NA,NA,0.5,6.6,NA,NA,0,0,0,NA,0,0,0.8,NA,16529,FantasyPros,13851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Bandy,WR,LAC,NA,NA,0.4,5.8,NA,NA,0,0,0.3,NA,0,0,0.8,NA,23531,FantasyPros,15671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lil'Jordan Humphrey,WR,NE,NA,NA,0.4,5.2,NA,NA,0,0,0,NA,0,0,0.7,NA,18590,FantasyPros,14118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trenton Irwin,WR,CIN,NA,NA,0.4,4.9,NA,NA,0,0,0,NA,0,0,0.7,NA,18726,FantasyPros,14551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andre Baccellia,WR,ARI,NA,NA,0.5,6.1,NA,NA,0,0,0.2,NA,0,0,0.7,NA,20050,FantasyPros,16037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rashard Higgins,WR,CAR,NA,NA,0.4,5,NA,NA,0,0,0,NA,0,0,0.7,NA,15586,FantasyPros,12656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penny Hart,WR,SEA,NA,NA,0.5,5.8,NA,NA,0,0,0,NA,0,0,0.7,NA,18787,FantasyPros,14316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KaVontae Turpin,WR,DAL,NA,NA,0.4,5.6,NA,NA,0,0,0.2,NA,0,0,0.6,NA,18520,FantasyPros,15981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darius Slayton,WR,NYG,NA,NA,0.4,4.6,NA,NA,0,0,0,NA,0,0,0.6,NA,18706,FantasyPros,14122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montrell Washington,WR,DEN,NA,NA,0.3,4.8,NA,NA,0,0,0.2,NA,0,0,0.6,NA,24554,FantasyPros,15900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Tolbert,WR,DAL,NA,NA,0.4,4.6,NA,NA,0,0,0,NA,0,0,0.6,NA,23770,FantasyPros,15788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tutu Atwell,WR,LAR,NA,NA,0.3,4.5,NA,NA,0,0,0,NA,0,0,0.6,NA,20126,FantasyPros,15301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ihmir Smith-Marsette,WR,CHI,NA,NA,0.3,5.1,NA,NA,0,0,0,NA,0,0,0.6,NA,20116,FantasyPros,15434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DJ Turner,WR,LV,NA,NA,0.3,3.9,NA,NA,0,0,0.1,NA,0,0,0.5,NA,23423,FantasyPros,15995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Reagor,WR,MIN,NA,NA,0.4,3.4,NA,NA,0,0.1,0.9,NA,0,0,0.5,NA,19219,FantasyPros,14839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Racey McMath,WR,TEN,NA,NA,0.4,4.2,NA,NA,0,0,0,NA,0,0,0.5,NA,23270,FantasyPros,15313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Nailor,WR,MIN,NA,NA,0.4,4.1,NA,NA,0,0,0.2,NA,0,0,0.5,NA,24177,FantasyPros,15786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeff Smith,WR,NYJ,NA,NA,0.3,4.3,NA,NA,0,0,0.1,NA,0,0,0.5,NA,18791,FantasyPros,14561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amari Rodgers,WR,GB,NA,NA,0.3,4,NA,NA,0,0,0.2,NA,0,0,0.5,NA,20132,FantasyPros,15297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stanley Morgan Jr.,WR,CIN,NA,NA,0.4,3.8,NA,NA,0,0,0.1,NA,0,0,0.5,NA,18624,FantasyPros,14131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Jones,WR,JAC,NA,NA,0.3,3.8,NA,NA,0,0,0.1,NA,0,0,0.5,NA,23438,FantasyPros,16005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gunner Olszewski,WR,PIT,NA,NA,0.3,3.4,NA,NA,0,0,0.3,NA,0,0,0.5,NA,19093,FantasyPros,14555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Slater,WR,NE,NA,NA,0.1,3.9,NA,NA,0,0,0.1,NA,0,0,0.5,NA,9446,FantasyPros,9200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malik Turner,WR,SF,NA,NA,0.3,3.5,NA,NA,0,0,0,NA,0,0,0.4,NA,18168,FantasyPros,13669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrie Cleveland,WR,DEN,NA,NA,0.3,4,NA,NA,0,0,0,NA,0,0,0.4,NA,19674,FantasyPros,15027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kendall Hinton,WR,DEN,NA,NA,0.2,2.6,NA,NA,0,0,0,NA,0,0,0.4,NA,19901,FantasyPros,15183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dareke Young,WR,SEA,NA,NA,0.2,3,NA,NA,0,0,0.1,NA,0,0,0.4,NA,24570,FantasyPros,15941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dyami Brown,WR,WAS,NA,NA,0.2,3,NA,NA,0,0,0,NA,0,0,0.4,NA,20113,FantasyPros,15292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Kumerow,WR,BUF,NA,NA,0.1,2.9,NA,NA,0,0,0,NA,0,0,0.4,NA,14083,FantasyPros,12443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Erickson,WR,WAS,NA,NA,0.2,2.6,NA,NA,0,0,0,NA,0,0,0.3,NA,15706,FantasyPros,12913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyron Johnson,WR,LV,NA,NA,0.2,2.5,NA,NA,0,0,0,NA,0,0,0.3,NA,18804,FantasyPros,14117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dezmon Patmon,WR,IND,NA,NA,0.2,2.4,NA,NA,0,0,0,NA,0,0,0.3,NA,19736,FantasyPros,14998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steven Sims Jr.,WR,PIT,NA,NA,0.2,2.2,NA,NA,0,0,0,NA,0,0,0.3,NA,18962,FantasyPros,14613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trent Taylor,WR,CIN,NA,NA,0.1,2.2,NA,NA,0,0,0.1,NA,0,0,0.3,NA,16505,FantasyPros,13316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terrace Marshall Jr.,WR,CAR,NA,NA,0.2,2.1,NA,NA,0,0,0,NA,0,0,0.2,NA,23242,FantasyPros,15308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared Bernhardt,WR,ATL,NA,NA,0.2,2,NA,NA,0,0,0,NA,0,0,0.2,NA,24670,FantasyPros,16001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Britain Covey,WR,PHI,NA,NA,0.2,2,NA,NA,0,0,0,NA,0,0,0.2,NA,24234,FantasyPros,15772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andre Roberts,WR,CAR,NA,NA,0.2,2,NA,NA,0,0,0,NA,0,0,0.2,NA,9696,FantasyPros,9921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
River Cracraft,WR,MIA,NA,NA,0.1,2,NA,NA,0,0,0,NA,0,0,0.2,NA,17224,FantasyPros,13862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jefferson, Justin",WR,MIN,NA,10.1,6.5,103,NA,NA,0.8,NA,1,NA,0,0,15,NA,NA,FantasySharks,14836,@PHI,1.5,0.3,0.2,0.1,0.1,0.1,0,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kupp, Cooper",WR,LAR,NA,10.5,8,95,NA,NA,0.8,NA,1,NA,0,0.1,14.2,NA,NA,FantasySharks,13164,ATL,2,0.4,0.2,0.1,0,0,0.1,1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adams, Davante",WR,LVR,NA,10,7,96,NA,NA,0.7,NA,0.1,NA,0,0,13.8,NA,NA,FantasySharks,11675,ARI,2,0.4,0.2,0,0.1,0,0,0,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chase, Ja'Marr",WR,CIN,NA,9.4,6,93,NA,NA,0.7,NA,3,NA,0,0,13.6,NA,NA,FantasySharks,15281,@DAL,1.6,0.3,0.1,0,0.1,0,0.2,0,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Samuel, Deebo",WR,SFO,NA,7.1,4.4,70,NA,NA,0.3,NA,25,NA,0.4,0.2,13.4,NA,NA,FantasySharks,14136,SEA,0.6,0.1,0,0,0,0.1,0,6,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"London, Drake",WR,ATL,NA,8.5,5.7,80,NA,NA,0.4,NA,11,NA,0.2,0,12.6,NA,NA,FantasySharks,15751,@LAR,1.1,0.1,0.1,0.1,0,0.1,0,7,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diggs, Stefon",WR,BUF,NA,10.7,6.9,85,NA,NA,0.6,NA,0,NA,0,0,12,NA,NA,FantasySharks,12186,TEN,1.7,0.2,0.3,0,0,0,0.1,0,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pittman, Michael",WR,IND,NA,9.3,6.3,82,NA,NA,0.5,NA,2,NA,0,0,11.9,NA,NA,FantasySharks,14842,@JAC,1.4,0.1,0.3,0.1,0,0.1,0,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evans, Mike",WR,TBB,NA,7.7,4.7,67,NA,NA,0.8,NA,0,NA,0,0,11.3,NA,NA,FantasySharks,11671,@NOS,1.3,0.4,0.1,0.1,0.1,0.1,0.1,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis, Gabriel",WR,BUF,NA,6.6,3.9,65,NA,NA,0.7,NA,0,NA,0,0,10.9,NA,NA,FantasySharks,14845,TEN,1.4,0.1,0.3,0.2,0,0,0.1,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill, Tyreek",WR,MIA,NA,10,7,78,NA,NA,0.4,NA,4,NA,0,0,10.7,NA,NA,FantasySharks,12801,@BAL,1.1,0.3,0,0,0,0,0,3,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamb, CeeDee",WR,DAL,NA,7.5,5,62,NA,NA,0.6,NA,2,NA,0,0,10.3,NA,NA,FantasySharks,14832,CIN,1.3,0.2,0.2,0.1,0,0.1,0,2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown, A.J.",WR,PHI,NA,8.5,5.6,84,NA,NA,0.3,NA,0.1,NA,0,0,10.2,NA,NA,FantasySharks,14104,MIN,1.1,0.1,0.1,0.1,0,0,0,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metcalf, DK",WR,SEA,NA,9.3,5.5,64,NA,NA,0.6,NA,0,NA,0,0.1,10.2,NA,NA,FantasySharks,14102,@SFO,1.1,0.1,0.3,0.1,0,0.1,0.1,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mooney, Darnell",WR,CHI,NA,8.9,5.1,71,NA,NA,0.4,NA,2,NA,0.1,0,9.9,NA,NA,FantasySharks,14974,@GBP,0.7,0.2,0.1,0,0,0,0.1,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lockett, Tyler",WR,SEA,NA,7.4,4.8,70,NA,NA,0.5,NA,1,NA,0,0,9.9,NA,NA,FantasySharks,12187,@SFO,0.6,0.2,0.1,0,0,0.1,0.1,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thielen, Adam",WR,MIN,NA,7.5,4.9,61,NA,NA,0.6,NA,0,NA,0,0,9.7,NA,NA,FantasySharks,11938,@PHI,1.2,0.3,0.1,0.1,0,0,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Waddle, Jaylen",WR,MIA,NA,9.3,6.3,68,NA,NA,0.4,NA,1,NA,0.1,0,9.7,NA,NA,FantasySharks,15284,@BAL,0.9,0.3,0,0,0,0.1,0,8,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Mike",WR,LAC,NA,8,4.5,67,NA,NA,0.5,NA,0,NA,0,0,9.6,NA,NA,FantasySharks,13154,@KCC,1.4,0.1,0.1,0.1,0,0.1,0.1,0,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thomas, Michael",WR,NOS,NA,7.8,4.9,63,NA,NA,0.5,NA,0,NA,0,0,9.5,NA,NA,FantasySharks,12652,TBB,1.4,0.4,0.1,0,0,0,0,1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen, Keenan",WR,LAC,NA,8,6,65,NA,NA,0.5,NA,0,NA,0,0,9.5,NA,NA,FantasySharks,11222,@KCC,1.4,0.3,0.1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lazard, Allen",WR,GBP,NA,6,4.8,55,NA,NA,0.6,NA,1,NA,0,0,9.2,NA,NA,FantasySharks,13632,CHI,1.6,0.3,0.2,0.1,0,0,0.1,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chark, D.J.",WR,DET,NA,7.1,4.3,52,NA,NA,0.6,NA,1,NA,0,0,9.1,NA,NA,FantasySharks,13668,WAS,0.8,0.1,0.1,0.3,0.1,0.1,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson, Diontae",WR,PIT,NA,11.1,6.3,63,NA,NA,0.4,NA,2,NA,0,0.1,9.1,NA,NA,FantasySharks,14208,NEP,1.3,0.1,0.1,0.1,0,0,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeudy, Jerry",WR,DEN,NA,7.5,5,68,NA,NA,0.4,NA,0,NA,0,0,9.1,NA,NA,FantasySharks,14833,HOU,0.8,0.1,0.1,0,0,0,0.1,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kirk, Christian",WR,JAC,NA,8,5.4,72,NA,NA,0.3,NA,1,NA,0,0,9.1,NA,NA,FantasySharks,13633,IND,0.8,0,0.1,0.1,0,0,0.1,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cooks, Brandin",WR,HOU,NA,8.5,5.4,66,NA,NA,0.4,NA,0,NA,0,0,8.9,NA,NA,FantasySharks,11674,@DEN,0.5,0.1,0,0.1,0,0.1,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown, Marquise",WR,ARI,NA,8,5.4,58,NA,NA,0.5,NA,0,NA,0,0,8.9,NA,NA,FantasySharks,14105,@LVR,1.1,0.2,0.1,0.1,0,0.1,0,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higgins, Tee",WR,CIN,NA,7.2,4.5,66,NA,NA,0.3,NA,0,NA,0,0,8.7,NA,NA,FantasySharks,14835,@DAL,0.9,0.1,0,0.1,0,0,0.1,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McLaurin, Terry",WR,WAS,NA,8.5,5.1,69,NA,NA,0.3,NA,0,NA,0,0,8.6,NA,NA,FantasySharks,14109,@DET,0.6,0,0.1,0,0,0.1,0.1,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Brown, Amon-Ra",WR,DET,NA,8.1,5.8,55,NA,NA,0.4,NA,2,NA,0,0,8.4,NA,NA,FantasySharks,15287,WAS,1,0.2,0.1,0.1,0.1,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moore, D.J.",WR,CAR,NA,8.9,4.8,67,NA,NA,0.2,NA,3,NA,0,0,8.2,NA,NA,FantasySharks,13635,@NYG,0.7,0.1,0,0,0,0,0.1,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Godwin, Chris",WR,TBB,NA,6.8,4.8,59,NA,NA,0.3,NA,1,NA,0,0.1,8.1,NA,NA,FantasySharks,13163,@NOS,1,0.1,0.1,0.1,0,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Renfrow, Hunter",WR,LVR,NA,8.4,6.1,58,NA,NA,0.4,NA,0,NA,0,0,8,NA,NA,FantasySharks,14123,ARI,1.4,0.2,0.2,0,0,0,0,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sutton, Courtland",WR,DEN,NA,7.7,5,62,NA,NA,0.3,NA,0,NA,0,0,8,NA,NA,FantasySharks,13630,HOU,0.8,0.1,0.1,0,0.1,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis, Corey",WR,NYJ,NA,6.6,4.1,57,NA,NA,0.3,NA,1,NA,0.1,0.1,7.9,NA,NA,FantasySharks,13153,@CLE,0.7,0.1,0,0,0,0,0.1,11,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
